features,importance
ORGANIZATION_TYPE_Telecom,0.2
ORGANIZATION_TYPE_Trade: type 1,0.0
ORGANIZATION_TYPE_Trade: type 2,0.0
ORGANIZATION_TYPE_Trade: type 3,0.2
ORGANIZATION_TYPE_Trade: type 4,0.0
ORGANIZATION_TYPE_Trade: type 5,0.0
ORGANIZATION_TYPE_Trade: type 6,0.0
ORGANIZATION_TYPE_Trade: type 7,0.0
ORGANIZATION_TYPE_Transport: type 1,0.0
ORGANIZATION_TYPE_Transport: type 2,0.2
ORGANIZATION_TYPE_Transport: type 3,4.0
ORGANIZATION_TYPE_Transport: type 4,0.0
ORGANIZATION_TYPE_University,0.0
ORGANIZATION_TYPE_XNA,0.0
ORGANIZATION_TYPE_nan,0.0
WALLSMATERIAL_MODE_Block,0.0
WALLSMATERIAL_MODE_Mixed,0.0
WALLSMATERIAL_MODE_Monolithic,0.0
WALLSMATERIAL_MODE_Others,0.0
WALLSMATERIAL_MODE_Panel,1.0
"WALLSMATERIAL_MODE_Stone, brick",0.2
WALLSMATERIAL_MODE_Wooden,0.0
WALLSMATERIAL_MODE_nan,0.2
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0
WEEKDAY_APPR_PROCESS_START_MONDAY,0.4
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.2
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.8
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.2
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.2
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.6000000000000001
WEEKDAY_APPR_PROCESS_START_nan,0.0
BURO_DAYS_CREDIT_mean,17.4
BURO_DAYS_CREDIT_max,47.0
BURO_DAYS_CREDIT_min,6.199999999999999
BURO_DAYS_CREDIT_count,3.6
BURO_DAYS_CREDIT_sum,5.0
BURO_CREDIT_DAY_OVERDUE_mean,0.2
BURO_CREDIT_DAY_OVERDUE_max,0.2
BURO_CREDIT_DAY_OVERDUE_min,0.0
BURO_CREDIT_DAY_OVERDUE_count,0.0
BURO_CREDIT_DAY_OVERDUE_sum,0.4
BURO_DAYS_CREDIT_ENDDATE_mean,6.799999999999999
BURO_DAYS_CREDIT_ENDDATE_max,28.0
BURO_DAYS_CREDIT_ENDDATE_min,4.799999999999999
BURO_DAYS_CREDIT_ENDDATE_count,2.4000000000000004
